Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-04 20:35,1,Fortnite,37030,193063,15769
2018-10-04 20:35,2,League of Legends,24024,123832,2441
2018-10-04 20:35,3,Sports & Fitness,0,68229,18
2018-10-04 20:35,4,World of Warcraft,19783,49555,1909
2018-10-04 20:35,5,Assassin's Creed Odyssey,68771,48611,368
2018-10-04 20:35,6,Just Chatting,0,36003,513
2018-10-04 20:35,7,Counter-Strike: Global Offensive,36113,30414,980
2018-10-04 20:35,8,Dota 2,32887,25204,373
2018-10-04 20:35,9,Overwatch,48190,23399,1479
2018-10-04 20:35,10,FIFA 19,68608,23329,491
2018-10-04 20:35,11,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,21022,1285
2018-10-04 20:35,12,Grand Theft Auto V,36765,19985,470
2018-10-04 20:35,13,Casino,0,15943,37
2018-10-04 20:35,14,Hearthstone,42033,15403,174
2018-10-04 20:35,15,Dead by Daylight,52693,13815,779
2018-10-04 20:35,16,Always On,0,13630,19
2018-10-04 20:35,17,Destiny 2,52647,13136,1374
2018-10-04 20:35,18,Magic: The Gathering,68425,11918,240
2018-10-04 20:35,19,Tom Clancy's Rainbow Six: Siege,46562,9708,1223
2018-10-04 20:35,20,Music & Performing Arts,29887,9419,256
2018-10-04 20:35,21,MapleStory 2,48529,8926,160
2018-10-04 20:35,22,Tales of Berseria,49874,7574,12
2018-10-04 20:35,23,Path of Exile,32562,6353,203
2018-10-04 20:35,24,Warframe,38788,6252,183
2018-10-04 20:35,25,Minecraft,30475,5990,361
