Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-09 02:19,1,Fortnite,37030,118231,6002
2018-10-09 02:19,2,League of Legends,24024,62100,1670
2018-10-09 02:19,3,Just Chatting,0,43364,443
2018-10-09 02:19,4,Hearthstone,42033,28875,140
2018-10-09 02:19,5,Overwatch,48190,27430,1002
2018-10-09 02:19,6,World of Warcraft,19783,25053,749
2018-10-09 02:19,7,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,19805,994
2018-10-09 02:19,8,Dota 2,32887,18743,335
2018-10-09 02:19,9,Assassin's Creed Odyssey,68771,17804,441
2018-10-09 02:19,10,Counter-Strike: Global Offensive,36113,16942,502
2018-10-09 02:19,11,Casino,0,13624,27
2018-10-09 02:19,12,Grand Theft Auto V,36765,12487,246
2018-10-09 02:19,13,Horns of Fear,68982,11787,2
2018-10-09 02:19,14,Dead by Daylight,52693,11007,565
2018-10-09 02:19,15,NBA 2K19,68872,10981,376
2018-10-09 02:19,16,Music & Performing Arts,29887,10960,225
2018-10-09 02:19,17,Destiny 2,52647,10398,751
2018-10-09 02:19,18,Tom Clancy's Rainbow Six: Siege,46562,8714,747
2018-10-09 02:19,19,Soulcalibur,12411,8318,1
2018-10-09 02:19,20,Always On,0,8301,18
2018-10-09 02:19,21,Magic: The Gathering,68425,7946,139
2018-10-09 02:19,22,Marbles On Stream,0,6366,33
2018-10-09 02:19,23,FIFA 19,68608,5607,166
2018-10-09 02:19,24,Dead Space,33999,5461,18
2018-10-09 02:19,25,ASMR,0,5254,36
