Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
2018-10-08 18:19,Fortnite,1,Ninja,79366,11675017,337960418
2018-10-08 18:19,Fortnite,2,Gotaga,47725,1208904,44273890
2018-10-08 18:19,Fortnite,3,CouRageJD,6765,865487,12423339
2018-10-08 18:19,Fortnite,4,POACH,6338,239787,2896343
2018-10-08 18:19,Fortnite,5,Cizzorz,6152,1016155,9836873
2018-10-08 18:19,Fortnite,6,KamoLRF,5557,193376,2015257
2018-10-08 18:19,Fortnite,7,SypherPK,5505,1558643,23981893
2018-10-08 18:19,Fortnite,8,PainLivestream,4181,249132,2400079
2018-10-08 18:19,Fortnite,9,SolaryFortnite,4063,482084,23309634
2018-10-08 18:19,Fortnite,10,NateHill,3814,190623,1370668
2018-10-08 18:19,League of Legends,1,loltyler1,18528,1887066,84220535
2018-10-08 18:19,League of Legends,2,imaqtpie,13877,2418457,293507509
2018-10-08 18:19,League of Legends,3,NoWay4u_Sir,9705,180671,19663188
2018-10-08 18:19,League of Legends,4,jovirone,7333,540347,30912209
2018-10-08 18:19,League of Legends,5,Shiphtur,5108,521855,30524241
2018-10-08 18:19,League of Legends,6,wtcN,4899,859716,36384167
2018-10-08 18:19,League of Legends,7,Froggen,4394,717462,69713293
2018-10-08 18:19,League of Legends,8,ElmiilloR,3980,146410,14053156
2018-10-08 18:19,League of Legends,9,Levo,3099,476041,26947424
2018-10-08 18:19,League of Legends,10,boxbox,2683,1407485,84069849
2018-10-08 18:19,World of Warcraft,1,Reckful,25503,783034,101212886
2018-10-08 18:19,World of Warcraft,2,Sloot,4497,176567,24240583
2018-10-08 18:19,World of Warcraft,3,Drjayfisto,2361,55363,5578474
2018-10-08 18:19,World of Warcraft,4,Hydramist,2292,87071,13277485
2018-10-08 18:19,World of Warcraft,5,djarii,1684,317309,15750310
2018-10-08 18:19,World of Warcraft,6,snutzy,1571,155649,13094628
2018-10-08 18:19,World of Warcraft,7,W_Lapin,1018,101733,13783957
2018-10-08 18:19,World of Warcraft,8,Sjeletyven1,770,19415,1190237
2018-10-08 18:19,World of Warcraft,9,Savix_Tv,762,49685,893747
2018-10-08 18:19,World of Warcraft,10,Oonolive,617,17059,519574
2018-10-08 18:19,Dota 2,1,Stray228,11822,369647,34217427
2018-10-08 18:19,Dota 2,2,BeyondTheSummit,10208,710155,368310521
2018-10-08 18:19,Dota 2,3,dota2mc_ru,4114,123168,11875244
2018-10-08 18:19,Dota 2,4,CarTmaNzbs,3831,294377,35839039
2018-10-08 18:19,Dota 2,5,canceldota,2430,106076,9272688
2018-10-08 18:19,Dota 2,6,lil,1981,104541,5085511
