,Unnamed: 0,Date,Rank,Game,Viewers,Channels,GiantBomb ID
0,0,2018-10-04 18:59,0,Fortnite,153780,14024,37030
1,1,2018-10-04 18:59,1,League of Legends,134263,2465,24024
2,2,2018-10-04 18:59,2,World of Warcraft,60032,1262,19783
3,3,2018-10-04 18:59,3,FIFA 19,44154,693,68608
4,4,2018-10-04 18:59,4,Dota 2,43849,536,32887
5,5,2018-10-04 18:59,5,Counter-Strike: Global Offensive,42605,1122,36113
6,6,2018-10-04 18:59,6,Just Chatting,41975,538,0
7,7,2018-10-04 18:59,7,Assassin's Creed Odyssey,31434,429,68771
8,8,2018-10-04 18:59,8,PLAYERUNKNOWN'S BATTLEGROUNDS,26717,1343,54979
9,9,2018-10-04 18:59,9,Overwatch,26412,1272,48190
10,10,2018-10-04 18:59,10,Grand Theft Auto V,25783,539,36765
11,11,2018-10-04 18:59,11,Hearthstone,20996,178,42033
12,12,2018-10-04 18:59,12,Casino,19126,44,0
13,13,2018-10-04 18:59,13,Destiny 2,14161,1248,52647
14,14,2018-10-04 18:59,14,Warframe,14112,180,38788
15,15,2018-10-04 18:59,15,Always On,13811,18,0
16,16,2018-10-04 18:59,16,Magic: The Gathering,13755,248,68425
17,17,2018-10-04 18:59,17,Dead by Daylight,13394,717,52693
18,18,2018-10-04 18:59,18,Escape From Tarkov,12392,217,53106
19,19,2018-10-04 18:59,19,Tales of Berseria,11364,10,49874
20,20,2018-10-04 18:59,20,Tom Clancy's Rainbow Six: Siege,10192,994,46562
21,21,2018-10-04 18:59,21,Mega Man 11,9710,87,63036
22,22,2018-10-04 18:59,22,Special Events,8552,14,0
23,23,2018-10-04 18:59,23,Battlerite Royale,8389,137,69841
24,24,2018-10-04 18:59,24,Path of Exile,8242,220,32562
25,0,2018-10-04 19:00,0,Fortnite,153780,14024,37030
26,1,2018-10-04 19:00,1,League of Legends,134263,2465,24024
27,2,2018-10-04 19:00,2,World of Warcraft,60032,1262,19783
28,3,2018-10-04 19:00,3,FIFA 19,44154,693,68608
29,4,2018-10-04 19:00,4,Dota 2,43849,536,32887
30,5,2018-10-04 19:00,5,Counter-Strike: Global Offensive,42605,1122,36113
31,6,2018-10-04 19:00,6,Just Chatting,41975,538,0
32,7,2018-10-04 19:00,7,Assassin's Creed Odyssey,31434,429,68771
33,8,2018-10-04 19:00,8,PLAYERUNKNOWN'S BATTLEGROUNDS,26717,1343,54979
34,9,2018-10-04 19:00,9,Overwatch,26412,1272,48190
35,10,2018-10-04 19:00,10,Grand Theft Auto V,25783,539,36765
36,11,2018-10-04 19:00,11,Hearthstone,20996,178,42033
37,12,2018-10-04 19:00,12,Casino,19126,44,0
38,13,2018-10-04 19:00,13,Destiny 2,14161,1248,52647
39,14,2018-10-04 19:00,14,Warframe,14112,180,38788
40,15,2018-10-04 19:00,15,Always On,13811,18,0
41,16,2018-10-04 19:00,16,Magic: The Gathering,13755,248,68425
42,17,2018-10-04 19:00,17,Dead by Daylight,13394,717,52693
43,18,2018-10-04 19:00,18,Escape From Tarkov,12392,217,53106
44,19,2018-10-04 19:00,19,Tales of Berseria,11364,10,49874
45,20,2018-10-04 19:00,20,Tom Clancy's Rainbow Six: Siege,10192,994,46562
46,21,2018-10-04 19:00,21,Mega Man 11,9710,87,63036
47,22,2018-10-04 19:00,22,Special Events,8552,14,0
48,23,2018-10-04 19:00,23,Battlerite Royale,8389,137,69841
49,24,2018-10-04 19:00,24,Path of Exile,8242,220,32562
50,0,2018-10-04 19:01,0,Fortnite,151951,14117,37030
51,1,2018-10-04 19:01,1,League of Legends,133816,2448,24024
52,2,2018-10-04 19:01,2,World of Warcraft,60135,1252,19783
53,3,2018-10-04 19:01,3,FIFA 19,43973,685,68608
54,4,2018-10-04 19:01,4,Dota 2,43866,532,32887
55,5,2018-10-04 19:01,5,Counter-Strike: Global Offensive,43037,1110,36113
56,6,2018-10-04 19:01,6,Just Chatting,42494,539,0
57,7,2018-10-04 19:01,7,Warframe,31605,177,38788
58,8,2018-10-04 19:01,8,Assassin's Creed Odyssey,30936,424,68771
59,9,2018-10-04 19:01,9,PLAYERUNKNOWN'S BATTLEGROUNDS,26818,1345,54979
60,10,2018-10-04 19:01,10,Overwatch,26110,1269,48190
61,11,2018-10-04 19:01,11,Grand Theft Auto V,25471,539,36765
62,12,2018-10-04 19:01,12,Hearthstone,20463,179,42033
63,13,2018-10-04 19:01,13,Casino,19337,44,0
64,14,2018-10-04 19:01,14,Destiny 2,14384,1252,52647
65,15,2018-10-04 19:01,15,Always On,14022,18,0
66,16,2018-10-04 19:01,16,Magic: The Gathering,13789,252,68425
67,17,2018-10-04 19:01,17,Dead by Daylight,13276,713,52693
68,18,2018-10-04 19:01,18,Escape From Tarkov,12369,220,53106
69,19,2018-10-04 19:01,19,Tales of Berseria,11245,10,49874
70,20,2018-10-04 19:01,20,Tom Clancy's Rainbow Six: Siege,9995,1004,46562
71,21,2018-10-04 19:01,21,Mega Man 11,9736,88,63036
72,22,2018-10-04 19:01,22,Special Events,8717,14,0
73,23,2018-10-04 19:01,23,Battlerite Royale,8507,137,69841
74,24,2018-10-04 19:01,24,Path of Exile,8018,222,32562
75,0,2018-10-04 19:02,0,Fortnite,151951,14117,37030
76,1,2018-10-04 19:02,1,League of Legends,133816,2448,24024
77,2,2018-10-04 19:02,2,World of Warcraft,60135,1252,19783
78,3,2018-10-04 19:02,3,FIFA 19,43973,685,68608
79,4,2018-10-04 19:02,4,Dota 2,43866,532,32887
80,5,2018-10-04 19:02,5,Counter-Strike: Global Offensive,43037,1110,36113
81,6,2018-10-04 19:02,6,Just Chatting,42494,539,0
82,7,2018-10-04 19:02,7,Warframe,31605,177,38788
83,8,2018-10-04 19:02,8,Assassin's Creed Odyssey,30936,424,68771
84,9,2018-10-04 19:02,9,PLAYERUNKNOWN'S BATTLEGROUNDS,26818,1345,54979
85,10,2018-10-04 19:02,10,Overwatch,26110,1269,48190
86,11,2018-10-04 19:02,11,Grand Theft Auto V,25471,539,36765
87,12,2018-10-04 19:02,12,Hearthstone,20463,179,42033
88,13,2018-10-04 19:02,13,Casino,19337,44,0
89,14,2018-10-04 19:02,14,Destiny 2,14384,1252,52647
90,15,2018-10-04 19:02,15,Always On,14022,18,0
91,16,2018-10-04 19:02,16,Magic: The Gathering,13789,252,68425
92,17,2018-10-04 19:02,17,Dead by Daylight,13276,713,52693
93,18,2018-10-04 19:02,18,Escape From Tarkov,12369,220,53106
94,19,2018-10-04 19:02,19,Tales of Berseria,11245,10,49874
95,20,2018-10-04 19:02,20,Tom Clancy's Rainbow Six: Siege,9995,1004,46562
96,21,2018-10-04 19:02,21,Mega Man 11,9736,88,63036
97,22,2018-10-04 19:02,22,Special Events,8717,14,0
98,23,2018-10-04 19:02,23,Battlerite Royale,8507,137,69841
99,24,2018-10-04 19:02,24,Path of Exile,8018,222,32562
100,0,2018-10-04 19:03,0,Fortnite,155682,14212,37030
101,1,2018-10-04 19:03,1,League of Legends,134770,2446,24024
102,2,2018-10-04 19:03,2,World of Warcraft,59884,1259,19783
103,3,2018-10-04 19:03,3,Dota 2,43980,532,32887
104,4,2018-10-04 19:03,4,FIFA 19,43874,680,68608
105,5,2018-10-04 19:03,5,Counter-Strike: Global Offensive,43567,1101,36113
106,6,2018-10-04 19:03,6,Just Chatting,39044,535,0
107,7,2018-10-04 19:03,7,Assassin's Creed Odyssey,30800,424,68771
108,8,2018-10-04 19:03,8,PLAYERUNKNOWN'S BATTLEGROUNDS,26657,1351,54979
109,9,2018-10-04 19:03,9,Overwatch,26043,1275,48190
110,10,2018-10-04 19:03,10,Warframe,25317,174,38788
111,11,2018-10-04 19:03,11,Grand Theft Auto V,24375,536,36765
112,12,2018-10-04 19:03,12,Casino,19623,44,0
113,13,2018-10-04 19:03,13,Hearthstone,19471,181,42033
114,14,2018-10-04 19:03,14,Magic: The Gathering,15377,254,68425
115,15,2018-10-04 19:03,15,Destiny 2,14364,1264,52647
116,16,2018-10-04 19:03,16,Always On,13805,18,0
117,17,2018-10-04 19:03,17,Dead by Daylight,13446,723,52693
118,18,2018-10-04 19:03,18,Escape From Tarkov,12475,220,53106
119,19,2018-10-04 19:03,19,Tales of Berseria,11110,9,49874
