,Date,Rank,Game,Viewers,Channels,GiantBomb ID
0,2018-10-04 19:00,0,Fortnite,153780,14024,37030
1,2018-10-04 19:00,1,League of Legends,134263,2465,24024
2,2018-10-04 19:00,2,World of Warcraft,60032,1262,19783
3,2018-10-04 19:00,3,FIFA 19,44154,693,68608
4,2018-10-04 19:00,4,Dota 2,43849,536,32887
5,2018-10-04 19:00,5,Counter-Strike: Global Offensive,42605,1122,36113
6,2018-10-04 19:00,6,Just Chatting,41975,538,0
7,2018-10-04 19:00,7,Assassin's Creed Odyssey,31434,429,68771
8,2018-10-04 19:00,8,PLAYERUNKNOWN'S BATTLEGROUNDS,26717,1343,54979
9,2018-10-04 19:00,9,Overwatch,26412,1272,48190
10,2018-10-04 19:00,10,Grand Theft Auto V,25783,539,36765
11,2018-10-04 19:00,11,Hearthstone,20996,178,42033
12,2018-10-04 19:00,12,Casino,19126,44,0
13,2018-10-04 19:00,13,Destiny 2,14161,1248,52647
14,2018-10-04 19:00,14,Warframe,14112,180,38788
15,2018-10-04 19:00,15,Always On,13811,18,0
16,2018-10-04 19:00,16,Magic: The Gathering,13755,248,68425
17,2018-10-04 19:00,17,Dead by Daylight,13394,717,52693
18,2018-10-04 19:00,18,Escape From Tarkov,12392,217,53106
19,2018-10-04 19:00,19,Tales of Berseria,11364,10,49874
20,2018-10-04 19:00,20,Tom Clancy's Rainbow Six: Siege,10192,994,46562
21,2018-10-04 19:00,21,Mega Man 11,9710,87,63036
22,2018-10-04 19:00,22,Special Events,8552,14,0
23,2018-10-04 19:00,23,Battlerite Royale,8389,137,69841
24,2018-10-04 19:00,24,Path of Exile,8242,220,32562
