Date,Rank,Game,Viewers,Channels,GiantBomb ID
2018-10-04 19:34,0,Fortnite,160823,14957,37030
2018-10-04 19:34,1,League of Legends,133992,2452,24024
2018-10-04 19:34,2,World of Warcraft,56781,1259,19783
2018-10-04 19:34,3,Just Chatting,47286,516,0
2018-10-04 19:34,4,Warframe,45584,171,38788
2018-10-04 19:34,5,Dota 2,37870,451,32887
2018-10-04 19:34,6,FIFA 19,37240,634,68608
2018-10-04 19:34,7,Counter-Strike: Global Offensive,35238,1049,36113
2018-10-04 19:34,8,Assassin's Creed Odyssey,28762,401,68771
2018-10-04 19:34,9,PLAYERUNKNOWN'S BATTLEGROUNDS,25578,1300,54979
2018-10-04 19:34,10,Overwatch,25481,1369,48190
2018-10-04 19:34,11,Hearthstone,22506,178,42033
2018-10-04 19:34,12,Grand Theft Auto V,20685,494,36765
2018-10-04 19:34,13,Casino,19130,42,0
2018-10-04 19:34,14,Dead by Daylight,14304,726,52693
2018-10-04 19:34,15,Magic: The Gathering,14198,240,68425
2018-10-04 19:34,16,Destiny 2,13836,1304,52647
2018-10-04 19:34,17,Sports & Fitness,12883,10,0
2018-10-04 19:34,18,Always On,12582,18,0
2018-10-04 19:34,19,Escape From Tarkov,11740,213,53106
2018-10-04 19:34,20,Tom Clancy's Rainbow Six: Siege,10117,1154,46562
2018-10-04 19:34,21,Mega Man 11,10102,106,63036
2018-10-04 19:34,22,Special Events,9746,14,0
2018-10-04 19:34,23,Tales of Berseria,9529,9,49874
2018-10-04 19:34,24,Battlerite Royale,8784,136,69841
