Timestamp,Game Rank,Game,Giantbomb ID,Total Viewers,Total Channels
2018-10-04 20:29,1,Fortnite,37030,188906,15719
2018-10-04 20:29,2,League of Legends,24024,123095,2412
2018-10-04 20:29,3,Sports & Fitness,0,59787,20
2018-10-04 20:29,4,World of Warcraft,19783,50067,1815
2018-10-04 20:29,5,Assassin's Creed Odyssey,68771,46126,368
2018-10-04 20:29,6,Just Chatting,0,36430,501
2018-10-04 20:29,7,Counter-Strike: Global Offensive,36113,33543,981
2018-10-04 20:29,8,Dota 2,32887,25511,380
2018-10-04 20:29,9,FIFA 19,68608,25492,515
2018-10-04 20:29,10,Overwatch,48190,23433,1484
2018-10-04 20:29,11,PLAYERUNKNOWN'S BATTLEGROUNDS,54979,20390,1272
2018-10-04 20:29,12,Grand Theft Auto V,36765,19628,465
2018-10-04 20:29,13,Casino,0,15563,36
2018-10-04 20:29,14,Hearthstone,42033,14231,180
2018-10-04 20:29,15,Dead by Daylight,52693,14108,757
2018-10-04 20:29,16,Always On,0,13361,19
2018-10-04 20:29,17,Destiny 2,52647,13004,1369
2018-10-04 20:29,18,Magic: The Gathering,68425,12151,236
2018-10-04 20:29,19,Tom Clancy's Rainbow Six: Siege,46562,9520,1226
2018-10-04 20:29,20,Music & Performing Arts,29887,8888,258
2018-10-04 20:29,21,Tales of Berseria,49874,7600,12
2018-10-04 20:29,22,Talk Shows & Podcasts,0,6923,124
2018-10-04 20:29,23,Warframe,38788,6774,181
2018-10-04 20:29,24,Path of Exile,32562,6599,210
2018-10-04 20:29,25,Minecraft,30475,5940,364
